한신평cp,11279,아모레퍼시픽,검색기업명,재무기준일,평가종류,등급,평가일,유효일,리포트,ESG인증,,
한신평cp,11279,아모레퍼시픽,아모레퍼시픽,2020.06.30,정기,A1,2020.12.23,,S,,,
한신평cp,11279,아모레퍼시픽,아모레퍼시픽,2019.12.31,본,A1,2020.06.25,,S,,,
나신평cp,11279,아모레퍼시픽,검색기업명,평정,현재등급,등급결정일,등급확정일,유효기간,요지,재무,보고서,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,정기,A1,2022.12.27,2022.12.27,2023.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,본,A1,2022.06.20,2022.06.21,2023.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,정기,A1,2021.12.23,2021.12.24,2022.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,본,A1,2021.06.29,2021.06.30,2022.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,정기,A1,2015.12.31,2015.12.31,2016.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,본,A1,2015.06.30,2015.06.30,2016.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,정기,A1,2014.12.31,2014.12.31,2015.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,본,A1,2014.06.30,2014.06.30,2015.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,정기,A1,2013.12.24,2013.12.24,2014.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,본,A1,2013.06.28,2013.06.28,2014.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,정기,A1,2012.12.28,2012.12.28,2013.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,본,A1,2012.06.28,2012.06.28,2013.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,정기,A1,2011.12.29,2011.12.29,2012.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,본,A1,2011.06.27,2011.06.27,2012.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,정기,A1,2010.12.30,2010.12.30,2011.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,본,A1,2010.06.30,2010.06.30,2011.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,정기,A1,2009.12.30,2009.12.30,2010.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,본,A1,2009.06.23,2009.06.23,2010.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,정기,A1,2008.12.12,2008.12.12,2009.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,본,A1,2008.06.30,2008.06.30,2009.06.30,,,,
나신평cp,11279,아모레퍼시픽,(주)아모레퍼시픽,정기,A1,2007.12.24,2007.12.24,2008.06.30,,,,
