경방,한신평cp,재무기준일,평가종류,등급,평가일,유효일,리포트,ESG인증
경방,한신평cp,2021.12.31,본,A1보증,2022.06.15,2022.07.25,,
경방,한신평cp,2021.06.30,정기,A1보증,2021.12.01,2022.06.30,,
경방,한신평cp,2020.12.31,본,A1보증,2021.07.23,2022.06.30,,
경방,나신평cp,평정,현재등급,등급결정일,등급확정일,유효기간,요지,재무,보고서
경방,나신평cp,정기,B-,1999.02.03,1999.06.30
경방,나신평cp,본,B-,1998.05.29,1999.06.30
경방,나신평cp,정기,B-,1997.12.30,1998.06.30
경방,나신평cp,본,B-,1997.06.30,1998.06.30
경방,나신평cp,정기,B,1996.12.27,1997.06.30
경방,나신평cp,본,B,1996.06.20,1997.06.30
경방,나신평cp,정기,B-,1995.12.28,1996.06.30
경방,나신평cp,본,B-,1995.06.30,1996.06.30
경방,나신평cp,본,B,1994.07.01,1995.06.30
하이트진로,한신평cp,재무기준일,평가종류,등급,평가일,유효일,리포트,ESG인증
하이트진로,한신평cp,2022.06.30,정기,A2+,2022.12.15,2023.06.30,,
하이트진로,한신평cp,2021.12.31,본,A2+,2022.05.31,2023.06.30,,
하이트진로,한신평cp,2021.06.30,정기,A2,2021.12.23,2022.06.30,,
하이트진로,한신평cp,2020.12.31,본,A2,2021.06.17,2022.06.30,,
하이트진로,한신평cp,2020.06.30,정기,A2,2020.12.17,2021.06.30,,
하이트진로,한신평cp,2019.12.31,본,A2,2020.06.26,2021.06.30,,
하이트진로,한신평cp,2018.06.30,정기,A2,2018.12.12,2019.06.30,,
하이트진로,한신평cp,2017.12.31,본,A2,2018.06.19,2019.06.30,,
하이트진로,한신평cp,2016.06.30,정기,A2,2016.12.16,2017.06.30,,
하이트진로,한신평cp,2015.12.31,본,A2,2016.06.27,2017.06.30,,
하이트진로,한신평cp,2015.06.30,정기,A2,2015.11.25,2016.06.30,,
하이트진로,한신평cp,2014.12.31,본,A2+,2015.06.26,2016.06.30,,
하이트진로,나신평cp,평정,현재등급,등급결정일,등급확정일,유효기간,요지,재무,보고서
하이트진로,나신평cp,수시,A2+,2022.06.03,2022.06.03,2022.06.30
하이트진로,나신평cp,정기,A2,2021.12.28,2021.12.29,2022.06.30
하이트진로,나신평cp,본,A2,2021.06.15,2021.06.16,2022.06.30
하이트진로,나신평cp,정기,A2,2020.12.17,2020.12.18,2021.06.30
하이트진로,나신평cp,본,A2,2020.06.04,2020.06.05,2021.06.30
하이트진로,나신평cp,정기,A2,2019.11.29,2019.12.02,2020.06.30
하이트진로,나신평cp,본,A2,2019.06.14,2019.06.14,2020.06.30
하이트진로,나신평cp,정기,A2,2017.12.07,2017.12.08,2018.06.30
하이트진로,나신평cp,본,A2,2017.06.20,2017.06.21,2018.06.30
하이트진로,나신평cp,정기,A2,2016.12.22,2016.12.22,2017.06.30
하이트진로,나신평cp,본,A2,2016.06.30,2016.06.30,2017.06.30
하이트진로,나신평cp,정기,A2+,2015.09.18,2015.09.18,2016.06.30
하이트진로,나신평cp,본,A2+,2015.06.26,2015.06.26,2016.06.30
하이트진로,나신평cp,수시,A2+,2015.05.28,2015.05.28,2015.06.25
하이트진로,나신평cp,정기,A1,2014.12.29,2014.12.29,2015.06.25
하이트진로,나신평cp,본,A1,2014.06.26,2014.06.26,2015.06.25
하이트진로,나신평cp,정기,A1,2013.12.24,2013.12.24,2014.06.30
하이트진로,나신평cp,본,A1,2013.06.27,2013.06.27,2014.06.30
하이트진로,나신평cp,정기,A1,2012.12.28,2012.12.28,2013.06.30
하이트진로,나신평cp,본,A1,2012.06.26,2012.06.26,2013.06.30
하이트진로,나신평cp,정기,A1,2011.12.27,2011.12.27,2012.06.30
하이트진로,나신평cp,본,A1,2011.07.18,2011.07.18,2012.06.30
하이트진로,나신평cp,정기,A1,2010.12.17,2010.12.17,2011.06.30
하이트진로,나신평cp,본,A1,2010.06.25,2010.06.25,2011.06.30
하이트진로,나신평cp,정기,A1,2009.12.28,2009.12.28,2010.06.30
하이트진로,나신평cp,본,A1,2009.05.13,2009.05.13,2010.06.30
하이트진로,나신평cp,본,A2+,2007.12.18,2007.12.18,2008.06.30
씨제이대한통운,한신평cp,재무기준일,평가종류,등급,평가일,유효일,리포트,ESG인증
씨제이대한통운,한신평cp,2022.06.30,정기,A1,2022.12.21,2023.06.30,,
씨제이대한통운,한신평cp,2021.12.31,본,A1,2022.04.14,2023.06.30,,
씨제이대한통운,한신평cp,2021.06.30,정기,A1,2021.12.16,2022.06.30,,
씨제이대한통운,한신평cp,2020.12.31,본,A1,2021.06.30,2022.06.30,,
씨제이대한통운,한신평cp,2020.06.30,정기,A1,2020.09.09,2021.06.30,,
씨제이대한통운,한신평cp,2019.12.31,본,A1,2020.04.13,2021.06.30,,
씨제이대한통운,한신평cp,2019.06.30,정기,A1,2019.12.16,2020.06.30,,
씨제이대한통운,한신평cp,2018.12.31,본,A1,2019.06.18,2020.06.30,,
씨제이대한통운,한신평cp,2018.06.30,정기,A1,2018.12.20,2019.06.30,,
씨제이대한통운,한신평cp,2017.12.31,본,A1,2018.05.25,2019.06.30,,
씨제이대한통운,한신평cp,2017.06.30,정기,A1,2017.12.21,2018.06.30,,
씨제이대한통운,한신평cp,2016.12.31,본,A1,2017.04.17,2018.06.30,,
씨제이대한통운,한신평cp,2016.06.30,정기,A1,2016.12.23,2017.06.30,,
씨제이대한통운,한신평cp,2015.12.31,본,A1,2016.04.06,2017.06.30,,
씨제이대한통운,한신평cp,2015.06.30,정기,A1,2015.12.24,2016.06.30,,
씨제이대한통운,한신평cp,2014.12.31,본,A1,2015.06.25,2016.06.30,,
씨제이대한통운,한신평cp,2014.06.30,정기,A1,2014.12.18,2015.06.30,,
씨제이대한통운,한신평cp,2013.12.31,본,A1,2014.06.24,2015.06.30,,
씨제이대한통운,한신평cp,2013.06.30,정기,A1,2013.12.30,2014.06.30,,
씨제이대한통운,한신평cp,2012.12.31,본,A1,2013.06.18,2014.06.30,,
씨제이대한통운,나신평cp,평정,현재등급,등급결정일,등급확정일,유효기간,요지,재무,보고서
씨제이대한통운,나신평cp,정기,A1,2022.12.21,2022.12.22,2023.06.30
